"county","as of","cases","deaths","url","notes","tested","pending","negative","positive","inconclusive","positives-travel","Locally Acquired (person to person or community spread)","Known Contact Positives","Community Transmission Positives","unknown/under investigation","recovered","Hospitalized","hospitalized-status","ICU","ICU-status","federal quarantine","Non-Resident Positive Tests","PUI (travelers + others)","travelers completed monitoring","for map?","updated","more granular data avaialble?",""
"Mariposa","4/4/2020 15:35:45","0","0","https://www.mariposacounty.org/1592/COVID-19-Information","These numbers do not include additional testing through the commercial lab system, hospitals and clinics. Although Mariposa County Public Health does not receive information on the number of tests sent through those systems, Public Health is notified of all positive result tests.","57","10","47","0","","","","","","","","","","","","","","","","","","",""
"Mendocino","4/4/2020 15:36:33","4","0","https://www.mendocinocounty.org/community/novel-coronavirus","","260","30","226","4","","","","","","","2","","","","","","","","","","","",""
"Merced","4/2/2020 18:02:37","16","0","http://www.co.merced.ca.us/3362/Coronavirus-Media","","","","","","","1","","","","","3","","","","","","","","","","","",""
"Modoc","4/2/2020 18:03:22","0","0","https://www.modocsheriff.us/modoc-covid-19-incident-updates","they weirdly link to the sheriff instead of the public health department","34","6","28","0","","","","","","","","","","","","","","","","","","",""
"Mono","4/4/2020 19:36:22","19","1","https://coronavirus.monocounty.ca.gov/","Their numbers are reported on the Inyo county page.","91","7","66","19","","","","","","","","","","","","","","","","","","",""
"Monterey","4/4/2020 15:39:57","57","2","https://www.co.monterey.ca.us/government/departments-a-h/administrative-office/office-of-emergency-services/response/covid-19","Number of tests only updated on Mondays, according to their site. Total number of tests only results received.","1098","","","","","11","","19","11","16","","9","","","","","","","","","","",""
"Napa","4/4/2020 19:37:11","20","2","https://legacy.livestories.com/s/v2/coronavirus-report-for-napa-county-ca/9065d62d-f5a6-445f-b2a9-b7cf30b846dd/","Napa has some competing info on different sites, so be careful.","486","118","348","20","","","","","","","","","","","","","1","41","","BANG","","",""
"Nevada","4/4/2020 19:38:15","31","1","https://www.mynevadacounty.com/2956/COVID-19-Cases-in-Nevada-County","","","","","","","2","","","4","2","","","","","","","","","","","","x",""
"Orange","4/4/2020 15:41:27","786","14","https://occovid19.ochealthinfo.com/coronavirus-in-oc","","9797","","","","","","","","","","","112","current","71","current","","","","","SCNG","","",""
"Placer","4/4/2020 15:42:47","101","2","https://www.placer.ca.gov/6448/Cases-in-Placer","","","","","","","","","","","","","","","","","","","","","","","",""
"Plumas","4/4/2020 15:43:04","3","0","https://www.plumascounty.us/2669/Novel-Coronavirus-2019","positive cases updated, but not testing results","127","66","58","3","","","","","","","","","","","","","","","","","","",""
"Riverside","4/4/2020 15:45:06","665","18","https://www.rivcoph.org/coronavirus","","","","","","","","","","","","60","","","","","","","","","SCNG","","x",""
"Sacramento","4/3/2020 17:38:11","390","10","https://www.saccounty.net/COVID-19/Pages/default.aspx","They aren't reporting their numbers daily, so beware calculating daily changes.","","","","","","","","","","","","","","","","","","","","","","x",""
"San Benito","4/4/2020 15:47:08","23","2","https://hhsa.cosb.us/publichealth/communicable-disease/coronavirus/","","311","19","269","23","","","","","","","15","","","","","","","","","SCNG","","",""
"San Bernardino","4/4/2020 19:39:37","372","13","http://wp.sbcounty.gov/dph/coronavirus/","","4230","","","","","","","","","","","","","","","","","","","","","",""
"San Diego","4/4/2020 19:40:05","1209","18","https://www.sandiegocounty.gov/content/sdc/hhsa/programs/phs/community_epidemiology/dc/2019-nCoV/status.html","","","","","","","","","","","","","228","","89","","","","","","","","x",""
"San Francisco","4/4/2020 15:48:07","529","8","https://www.sfdph.org/dph/alerts/coronavirus.asp","SF hospitalization numbers are from the health director in a press conference, but they are not releasing them on a daily basis yet.","","","","","","","","","","","","","","","","","","","","BANG","","",""
"San Joaquin","4/4/2020 15:48:27","189","11","http://www.sjcphs.org/","","","","","","","","","","","","","","","","","","","","","","","x",""
"San Luis Obispo","4/4/2020 15:49:48","93","0","https://www.emergencyslo.org/en/positive-case-details.aspx","","","","","","","","","","","","65","6","current","4","current","","","","","","","x",""
"San Mateo","4/4/2020 15:50:21","538","13","https://www.smchealth.org/coronavirus","","","","","","","","","","","","","","","","","","","","","BANG","","",""
"Santa Barbara","4/4/2020 19:41:14","168","1","https://publichealthsbc.org/","","1358","211","978","168","1","","","","","","38","26","current","17","current","","","","","","","x",""
"Santa Clara","4/4/2020 16:04:09","1148","39","https://www.sccgov.org/sites/phd/DiseaseInformation/novel-coronavirus/Pages/dashboard.aspx","","","","","","","","","","","","","","","","","","","","","BANG","","",""
"Santa Cruz","4/4/2020 15:52:48","62","1","https://www.santacruzhealth.org/HSAHome/HSADivisions/PublicHealth/CommunicableDiseaseControl/Coronavirus.aspx","","","","794","","","","","","","","","9","","","","","","","","BANG","","",""
"Shasta","4/4/2020 15:53:16","12","2","https://www.co.shasta.ca.us/index/hhsa/health-safety/current-heath-concerns/coronavirus","Numbers are in a video report.","","","418","12","","2","","1","","","","","","","","","","","","","","",""
"Sierra","4/3/2020 17:43:13","0","0","http://www.sierracounty.ca.gov/582/Coronavirus-COVID-19","","7","0","7","0","","","","","","","","","","","","","","","","","","",""
"Siskiyou","4/4/2020 15:53:44","3","0","https://www.co.siskiyou.ca.us/publichealth","","104","10","91","3","","","","","","","","","","","","","","","","","","",""
"Solano","4/4/2020 15:54:33","73","1","http://www.solanocounty.com/depts/ph/ncov.asp","no weekend updates","","","","","","","","","","","","22","cumulative","","","","","","","BANG","","",""
"Sonoma","4/4/2020 15:56:02","105","1","https://socoemergency.org/emergency/novel-coronavirus/novel-coronavirus-in-sonoma-county/","The display ""active cases"" prominently but it doesn't include deaths and recovered. Make sure to pull ""cumulative cases.""","2271","","","","","","","","","","21","20","","","","","","","","BANG","","",""
"Stanislaus","4/4/2020 19:41:51","65","0","http://schsa.org/publichealth/pages/corona-virus/","","","","1541","","","","","","","","","","","","","","","","","","","",""
"Sutter","4/4/2020 15:57:28","16","1","https://www.suttercounty.org/doc/government/depts/cao/em/coronavirus","Yuba and Sutter appear to report together to a certain extent. Hospitalizations are reported together so I'm listing them in sutter county.","","","","","","","","","","","","3","","","","","","","","","","",""
"Tehama","4/1/2020 17:26:44","1","0","https://www.tehamacohealthservices.net/services/communicable-diseases/#current-events","","","","","","","","","","","","","","","","","","","","","","","",""
"Trinity","4/1/2020 17:26:53","0","0","https://www.trinitycounty.org/Public-Health","","","","","","","","","","","","","","","","","","","","","","","",""
"Tulare","4/4/2020 15:59:16","107","5","https://tchhsa.org/eng/index.cfm/public-health/covid-19-updates-novel-coronavirus/","","","","","","","17","64","","","26","5","","","","","","","","","","","",""
"Tuolumne","4/3/2020 17:46:28","1","0","https://www.tuolumnecounty.ca.gov/250/Public-Health","","245","6","238","1","","","","","","","","","","","","","1","","","","","",""
"Ventura","4/4/2020 16:00:13","203","6","https://www.vcemergency.com/","","3892","","","","","","","","","","60","45","ever","","","","","","","","","x",""
"Yolo","4/3/2020 17:48:10","37","1","https://www.yolocounty.org/health-human-services/adults/communicable-disease-investigation-and-control/novel-coronavirus-2019","","441","","","","","","","","","","","17","ever","","","","","","","","","",""
"Yuba","4/4/2020 15:57:31","9","0","https://www.yuba.org/coronavirus/","Yuba and Sutter appear to report together to a certain extent, and info is easier to find on the Sutter county website.","","","","","","","","","2","","","","","","","","","","","","","",""
