ï»¿OBJECTID,FULL_,GEOID,LABEL,STAETFP,COUNTY,COUNTYFP,County_Pos_Cases,County_Population,County_Rate_Per_100_000,County_Pos_Cases_Yesterday,County_Pos_Cases_Change,County_Deaths,County_Deaths_Yesterday,County_Deaths_Change,State_Pos_Cases,State_Population,State_Rate_Per_100000,State_Deaths,State_Number_Hospitalizations,State_Number_Tested,State_Number_of_Counties_Pos,State_Number_of_Outbreaks,Data_Source,Date_Data_Last_Updated,Shape__Area,Shape__Length
22,Chaffee County,08015,Chaffee,08,CHAFFEE,015,67,20028,334.53,66,1,15,15,0,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",4328004367.16797,386588.205582361
23,Crowley County,08025,Crowley,08,CROWLEY,025,3,5857,-1,2,1,1,1,0,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",3373467236.0625,243673.421602718
24,Fremont County,08043,Fremont,08,FREMONT,043,22,47912,45.92,22,0,,,,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",6491723772.80859,368122.636694602
25,Huerfano County,08055,Huerfano,08,HUERFANO,055,2,6854,-1,2,0,,,,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",6600175788.24219,473895.539017731
26,Delta County,08029,Delta,08,DELTA,029,46,30936,148.69,44,2,1,1,0,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",4913548287.83594,340015.070505667
27,Garfield County,08045,Garfield,08,GARFIELD,045,93,59807,155.5,93,0,2,2,0,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",12911081555.8047,662380.047263359
28,Rio Blanco County,08103,Rio Blanco,08,RIO BLANCO,103,1,6305,-1,1,0,,,,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",14232867247.625,615863.666810983
29,Morgan County,08087,Morgan,08,MORGAN,087,384,28503,1347.23,372,12,17,16,1,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",5761403665.51953,305025.067510655
30,Lincoln County,08073,Lincoln,08,LINCOLN,073,3,5584,-1,3,0,,,,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",11104214487.6953,501503.379966312
31,Montezuma County,08083,Montezuma,08,MONTEZUMA,083,16,26159,61.16,16,0,2,2,0,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",8372827720.81641,400009.056123532
32,Adams County,08001,Adams,08,ADAMS,001,1665,511473,325.53,1585,80,68,63,5,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",5210141150.01953,511835.400891218
33,Mineral County,08079,Mineral,08,MINERAL,079,2,777,-1,2,0,,,,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",3634702483.06641,263045.388781546
34,Otero County,08089,Otero,08,OTERO,089,10,18364,54.45,10,0,1,1,0,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",5290668251.41406,335426.330930159
35,Phillips County,08095,Phillips,08,PHILLIPS,095,5,4266,117.21,5,0,,,,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",3093819023.79688,227633.738214857
36,Ouray County,08091,Ouray,08,OURAY,091,5,4798,104.21,5,0,1,1,0,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",2274816289.12891,272615.623145942
37,Bent County,08011,Bent,08,BENT,011,0,5819,0,0,0,,,,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",6430590598.72656,323583.727603443
38,Archuleta County,08007,Archuleta,08,ARCHULETA,007,8,13737,58.24,8,0,,,,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",5542147892.29297,332854.375928837
39,Routt County,08107,Routt,08,ROUTT,107,55,25683,214.15,56,-1,5,4,1,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",10614530971.7148,532136.256905045
40,Hinsdale County,08053,Hinsdale,08,HINSDALE,053,3,804,-1,3,0,,,,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",4669808237.98828,359599.201114798
41,Weld County,08123,Weld,08,WELD,123,1802,314251,573.43,1776,26,100,95,5,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",18041133099.0898,641092.26859247
42,Larimer County,08069,Larimer,08,LARIMER,069,377,350362,107.6,363,14,18,19,-1,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",11869666547.0664,482557.23477005
43,Lake County,08065,Lake,08,LAKE,065,19,7762,244.78,18,1,,,,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",1658108649.73438,213386.288543794
44,Rio Grande County,08105,Rio Grande,08,RIO GRANDE,105,7,11226,62.36,7,0,,,,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",3769075953.91406,271469.141210196
45,Gilpin County,08047,Gilpin,08,GILPIN,047,1,6097,-1,1,0,,,,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",661227908.605469,121354.050357325
46,Yuma County,08125,Yuma,08,YUMA,125,9,10029,89.74,8,1,,,,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",10467950650.7617,420189.213207024
47,Jackson County,08057,Jackson,08,JACKSON,057,0,1396,0,0,0,,,,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",7304560868.78125,472651.746203251
48,Kit Carson County,08063,Kit Carson,08,KIT CARSON,063,21,7157,293.42,21,0,2,2,0,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",9363594130.41406,400120.724499853
49,Clear Creek County,08019,Clear Creek,08,CLEAR CREEK,019,13,9663,134.53,13,0,1,1,0,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",1736216264.01172,211108.263142895
50,Logan County,08075,Logan,08,LOGAN,075,282,21854,1290.38,282,0,1,1,0,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",8328152552.15234,372747.682548311
51,Washington County,08121,Washington,08,WASHINGTON,121,7,4729,148.02,7,0,,,,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",11143769306.3555,459622.732781113
52,Douglas County,08035,Douglas,08,DOUGLAS,035,502,342842,146.42,478,24,23,22,1,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",3653484422.51172,276727.953834991
53,Conejos County,08021,Conejos,08,CONEJOS,021,0,8136,0,0,0,,,,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",5279802537.71094,331488.671176898
54,El Paso County,08041,El Paso,08,EL PASO,041,964,714395,134.94,934,30,71,70,1,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",9102643574.50391,401357.096288885
55,Kiowa County,08061,Kiowa,08,KIOWA,061,0,1373,0,0,0,,,,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",7549913092.20313,424067.864853848
56,Teller County,08119,Teller,08,TELLER,119,28,25060,111.73,28,0,2,2,0,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",2392495005.71094,233307.545938797
57,Gunnison County,08051,Gunnison,08,GUNNISON,051,164,17173,954.99,166,-2,5,5,0,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",13869269448.5195,669945.263503513
58,Baca County,08009,Baca,08,BACA,009,10,3547,281.93,10,0,,,,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",10491691046.9727,413607.350631197
59,Elbert County,08039,Elbert,08,ELBERT,039,30,26218,114.43,29,1,1,1,0,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",8013602362.3125,412091.404768861
60,Mesa County,08077,Mesa,08,MESA,077,47,153630,30.59,46,1,,,,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",14355754237.5938,614897.951141589
61,Dolores County,08033,Dolores,08,DOLORES,033,0,2053,0,0,0,,,,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",4433037486.37891,377983.232895077
62,Arapahoe County,08005,Arapahoe,08,ARAPAHOE,005,2557,651342,392.57,2472,85,152,141,11,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",3523320321.52344,435283.847309801
63,Las Animas County,08071,Las Animas,08,LAS ANIMAS,071,3,14491,-1,3,0,,,,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",19590463047.1133,660024.150359288
64,Grand County,08049,Grand,08,GRAND,049,5,15474,32.31,5,0,,,,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",8286034228.99609,526946.918699701
65,OUT OF STATE,,OUT OF STATE,08,OUT OF STATE,,107,,,77,30,2,2,0,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",,
66,UNKNOWN,,UNKNOWN,08,UNKNOWN,,94,,,81,13,2,1,1,15768,5694287,276.91,820,2747,75259,56,161,Colorado Department of Public Health and Environment,"Data through April 30, 2020",,
