Report Date,FIPS,Locality,Health District,Total Cases
4/3/2020,51163,Rockbridge,Central Shenandoah,2
4/3/2020,51165,Rockingham,Central Shenandoah,11
4/3/2020,51167,Russell,Cumberland Plateau,0
4/3/2020,51185,Tazewell,Cumberland Plateau,2
4/3/2020,51187,Warren,Lord Fairfax,4
4/3/2020,51193,Westmoreland,Three Rivers,1
4/3/2020,51197,Wythe,Mount Rogers,2
4/3/2020,51199,York,Peninsula,17
4/3/2020,51510,Alexandria,Alexandria,56
4/3/2020,51520,Bristol,Mount Rogers,1
4/3/2020,51550,Chesapeake,Chesapeake,50
4/3/2020,51590,Danville,Pittsylvania-Danville,9
4/3/2020,51600,Fairfax City,Fairfax,0
4/3/2020,51620,Franklin City,Western Tidewater,3
4/3/2020,51660,Harrisonburg,Central Shenandoah,22
4/3/2020,51680,Lynchburg,Central Virginia,9
4/3/2020,51685,Manassas Park,Prince William,2
4/3/2020,51690,Martinsville,West Piedmont,0
4/3/2020,51700,Newport News,Peninsula,37
4/3/2020,51710,Norfolk,Norfolk,43
4/3/2020,51775,Salem,Alleghany,1
4/3/2020,51820,Waynesboro,Central Shenandoah,3
4/3/2020,51830,Williamsburg,Peninsula,9
4/3/2020,51840,Winchester,Lord Fairfax,9
4/3/2020,51001,Accomack,Eastern Shore,8
4/3/2020,51005,Alleghany,Alleghany,2
4/3/2020,51007,Amelia,Piedmont,5
4/3/2020,51017,Bath,Central Shenandoah,0
4/3/2020,51023,Botetourt,Alleghany,8
4/3/2020,51041,Chesterfield,Chesterfield,89
4/3/2020,51045,Craig,Alleghany,0
4/3/2020,51051,Dickenson,Cumberland Plateau,0
4/3/2020,51059,Fairfax,Fairfax,372
4/3/2020,51061,Fauquier,Rappahannock Rapidan,9
4/3/2020,51063,Floyd,New River,0
4/3/2020,51065,Fluvanna,Thomas Jefferson,5
4/3/2020,51067,Franklin County,West Piedmont,9
4/3/2020,51069,Frederick,Lord Fairfax,20
4/3/2020,51071,Giles,New River,0
4/3/2020,51073,Gloucester,Three Rivers,8
4/3/2020,51075,Goochland,Chickahominy,8
4/3/2020,51089,Henry,West Piedmont,3
4/3/2020,51095,James City,Peninsula,104
4/3/2020,51099,King George,Rappahannock,6
4/3/2020,51101,King William,Three Rivers,1
4/3/2020,51103,Lancaster,Three Rivers,1
4/3/2020,51107,Loudoun,Loudoun,130
4/3/2020,51117,Mecklenburg,Southside,7
4/3/2020,51121,Montgomery,New River,1
4/3/2020,51125,Nelson,Thomas Jefferson,2
4/3/2020,51135,Nottoway,Piedmont,1
4/3/2020,51137,Orange,Rappahannock Rapidan,4
4/3/2020,51139,Page,Lord Fairfax,2
4/3/2020,51147,Prince Edward,Piedmont,2
4/3/2020,51157,Rappahannock,Rappahannock Rapidan,0
4/3/2020,51159,Richmond County,Three Rivers,1
4/3/2020,51161,Roanoke County,Alleghany,4
4/3/2020,51169,Scott,Lenowisco,0
4/3/2020,51171,Shenandoah,Lord Fairfax,10
4/3/2020,51173,Smyth,Mount Rogers,2
4/3/2020,51175,Southampton,Western Tidewater,4
4/3/2020,51177,Spotsylvania,Rappahannock,11
4/3/2020,51179,Stafford,Rappahannock,29
4/3/2020,51181,Surry,Crater,3
4/3/2020,51183,Sussex,Crater,2
4/3/2020,51191,Washington,Mount Rogers,3
4/3/2020,51195,Wise,Lenowisco,1
4/3/2020,51530,Buena Vista City,Central Shenandoah,1
4/3/2020,51540,Charlottesville,Thomas Jefferson,17
4/3/2020,51570,Colonial Heights,Chesterfield,0
4/3/2020,51580,Covington,Alleghany,1
4/3/2020,51595,Emporia,Crater,1
4/3/2020,51610,Falls Church,Fairfax,0
4/3/2020,51630,Fredericksburg,Rappahannock,4
4/3/2020,51640,Galax,Mount Rogers,1
4/3/2020,51650,Hampton,Hampton,29
4/3/2020,51670,Hopewell,Crater,7
4/3/2020,51678,Lexington,Central Shenandoah,2
4/3/2020,51683,Manassas City,Prince William,13
4/3/2020,51720,Norton,Lenowisco,0
4/3/2020,51730,Petersburg,Crater,8
4/3/2020,51735,Poquoson,Peninsula,3
4/3/2020,51740,Portsmouth,Portsmouth,17
4/3/2020,51750,Radford,New River,1
4/3/2020,51760,Richmond City,Richmond,76
4/3/2020,51770,Roanoke City,Roanoke,9
4/3/2020,51790,Staunton,Central Shenandoah,0
4/3/2020,51800,Suffolk,Western Tidewater,10
4/3/2020,51810,Virginia Beach,Virginia Beach,128
