"county","checked","cases","deaths","url","notes","tested","pending","negative","positive","inconclusive","positives-travel","Locally Acquired (person to person or community spread)","Known Contact Positives","Community Transmission Positives","unknown/under investigation","recovered","Hospitalized","ICU","federal quarantine","Non-Resident Positive Tests","PUI (travelers + others)","travelers completed monitoring","",""
"San Diego","3/30/2020 17:15:38","603","7","https://www.sandiegocounty.gov/content/sdc/hhsa/programs/phs/community_epidemiology/dc/2019-nCoV/status.html","","","","","","","","","","","","","118","","51","","","","",""
"San Francisco","3/30/2020 18:22:54","374","6","https://www.sfdph.org/dph/alerts/coronavirus.asp","","","","","","","","","","","","","58","","","","","","",""
"San Joaquin","3/30/2020 17:15:50","136","6","http://www.sjcphs.org/","","","","","","","","","","","","","","","","","","","",""
"San Luis Obispo","3/30/2020 17:17:15","77","0","https://www.emergencyslo.org/en/positive-case-details.aspx","","","","","","","","","","","","27","7","","1","","","","",""
"San Mateo","3/30/2020 18:23:17","309","6","https://www.smchealth.org/coronavirus","cases are noted as ""provisional"" today","","","","","","","","","","","","","","","","","","",""
"Santa Barbara","3/30/2020 20:31:42","88","0","https://publichealthsbc.org/","","761","128","544","88","1","","","","","","","","","","","","","",""
"Santa Clara","3/30/2020 18:23:49","848","28","https://www.sccgov.org/sites/phd/DiseaseInformation/novel-coronavirus/Pages/dashboard.aspx","","","","","","","","","","","","","","","","","","","",""
"Santa Cruz","3/30/2020 18:24:02","45","1","https://www.santacruzhealth.org/HSAHome/HSADivisions/PublicHealth/CommunicableDiseaseControl/Coronavirus.aspx","","","","","","","","","","","","","","","","","","","",""
"Shasta","3/30/2020 17:18:01","5","1","https://www.co.shasta.ca.us/index/hhsa/health-safety/current-heath-concerns/coronavirus","Numbers are in a video report.","","6","82","3","","2","","1","","","","","","","","","","",""
"Sierra","3/30/2020 17:18:15","0","0","http://www.sierracounty.ca.gov/582/Coronavirus-COVID-19","","5","0","5","0","","","","","","","","","","","","","","",""
"Siskiyou","3/30/2020 17:19:00","3","0","https://www.co.siskiyou.ca.us/publichealth","","74","8","63","3","","","","","","","","","","","","","","",""
"Solano","3/30/2020 18:24:37","43","0","http://www.solanocounty.com/depts/ph/ncov.asp","no weekend updates","","","","","","","","","","","","12","","","","","","",""
"Sonoma","3/30/2020 18:25:21","66","1","https://socoemergency.org/emergency/novel-coronavirus/novel-coronavirus-in-sonoma-county/","The display ""active cases"" prominently but it doesn't include deaths and recovered. Make sure to pull ""cumulative cases.""","1397","","1339","58","","9","","7","11","12","13","13","","","","","","",""
"Stanislaus","3/30/2020 17:19:17","33","0","http://schsa.org/publichealth/pages/corona-virus/","","","","994","","","","","","","","","","","","","","","",""
"Sutter","3/30/2020 17:19:44","9","0","https://www.suttercounty.org/doc/government/depts/cao/em/coronavirus","Yuba and Sutter appear to report together to a certain extent. Hospitalizations are reported together so I'm listing them in sutter county.","","","","","","","","","","","","","3","","","","","",""
"Tehama","3/30/2020 17:20:45","0","0","https://www.tehamacohealthservices.net/services/communicable-diseases/#current-events","","","","","","","","","","","","","","","","","","","",""
"Trinity","3/30/2020 17:20:55","0","0","https://www.trinitycounty.org/Public-Health","","","","","","","","","","","","","","","","","","","",""
"Tulare","3/30/2020 17:21:16","43","1","https://tchhsa.org/eng/index.cfm/public-health/covid-19-updates-novel-coronavirus/","","","","","","","16","18","","","9","1","","","","","","","",""
"Tuolumne","3/30/2020 17:21:58","2","0","https://www.tuolumnecounty.ca.gov/250/Public-Health","","185","26","158","2","","","","","","","","","","","","1","","",""
"Ventura","3/30/2020 17:23:31","126","4","https://www.vcemergency.com/","","","","","","","","","","","","","","","","","","","",""
"Yolo","3/30/2020 17:23:47","24","1","https://www.yolocounty.org/health-human-services/adults/communicable-disease-investigation-and-control/novel-coronavirus-2019","","","","","","","","","","","","","","","","","","","",""
"Yuba","3/30/2020 17:24:10","6","0","https://www.yuba.org/coronavirus/","Yuba and Sutter appear to report together to a certain extent, and info is easier to find on the Sutter county website.","","","","","","","","","2","","","","","","","","","",""
