"county","as of","cases","deaths","url","notes","tested","pending","negative","positive","inconclusive","positives-travel","Locally Acquired (person to person or community spread)","Known Contact Positives","Community Transmission Positives","unknown/under investigation","recovered","Hospitalized","hospitalized-status","ICU","ICU-status","federal quarantine","Non-Resident Positive Tests","PUI (travelers + others)","travelers completed monitoring","for map?","updated","more granular data avaialble?","race data?"
"Mendocino","4/12/2020 16:59:44","4","0","https://www.mendocinocounty.org/community/novel-coronavirus","","380","20","356","4","","","","","","","4","","","","","","","","","","","",""
"Merced","4/12/2020 17:00:31","65","3","http://www.co.merced.ca.us/3362/Coronavirus-Media","","","","","","","","","","","","16","","","","","","","","","","","",""
"Modoc","4/13/2020 17:03:53","0","0","https://www.modocsheriff.us/modoc-covid-19-incident-updates","they weirdly link to the sheriff instead of the public health department","48","5","43","0","","","","","","","","","","","","","","","","","","",""
"Mono","4/13/2020 17:04:35","23","1","https://coronavirus.monocounty.ca.gov/","Their numbers are reported on the Inyo county page.","122","7","95","23","","","","","","","","","","","","","","","","","","",""
"Monterey","4/12/2020 17:02:10","87","3","https://www.co.monterey.ca.us/government/departments-a-h/health/diseases/2019-novel-coronavirus-2019-ncov/2019-novel-coronavirus-2019-ncov-local-data","Number of tests only updated on Mondays, according to their site. Total number of tests only results received.","1930","","","","","","","","","","18","20","","","","","","","","","","x",""
"Nevada","4/9/2020 18:13:18","34","1","https://www.mynevadacounty.com/2956/COVID-19-Cases-in-Nevada-County","","","","","","","2","","","4","2","","","","","","","","","","","","x",""
"Placer","4/13/2020 17:06:32","127","5","https://www.placer.ca.gov/6448/Cases-in-Placer","","","","2689","","","","","","","","","18","","6","","","","","","","","x",""
"Plumas","4/13/2020 17:06:57","4","0","https://www.plumascounty.us/2669/Novel-Coronavirus-2019","positive cases updated, but not testing results","311","22","285","4","","","","","","","","","","","","","","","","","","",""
"Sacramento","4/13/2020 15:20:28","739","27","https://www.saccounty.net/COVID-19/Pages/default.aspx","","","","","","","","","","","","","","","","","","","","","","","x (zip code)",""
"San Bernardino","4/13/2020 17:07:30","977","31","http://wp.sbcounty.gov/dph/coronavirus/","","9358","","","","","","","","","","","","","","","","","","","","","x",""
"San Diego","4/13/2020 17:34:40","1847","47","https://www.sandiegocounty.gov/content/sdc/hhsa/programs/phs/community_epidemiology/dc/2019-nCoV/status.html","","26132","","","","","","","","","","","420","","156","","","","","","","","x","x"
"San Joaquin","4/13/2020 15:21:18","293","16","http://www.sjcphs.org/","","","","","","","","","","","","","","","","","","","","","","","x",""
"San Luis Obispo","4/13/2020 15:22:00","117","1","https://www.emergencyslo.org/en/positive-case-details.aspx","Testing numbers don't include private labs positives or negatives.","716","","","","","","","","","","95","2","current","2","current","","","","","","","x",""
"Santa Barbara","4/13/2020 17:08:52","284","2","https://publichealthsbc.org/","","1842","","1555","284","3","","","","","","109","40","current","15","current","","","","","","","x",""
"Shasta","4/12/2020 17:54:29","24","3","https://www.co.shasta.ca.us/index/hhsa/health-safety/current-heath-concerns/coronavirus","Numbers are in a video report.","","","671","24","","","","","","","3","","","","","","","","","","","",""
"Sierra","4/13/2020 17:09:33","0","0","http://www.sierracounty.ca.gov/582/Coronavirus-COVID-19","","9","0","9","0","","","","","","","","","","","","","","","","","","",""
"Siskiyou","4/13/2020 17:10:06","5","0","https://www.co.siskiyou.ca.us/publichealth","","181","3","173","5","","","","","","","3","","","","","","","","","","","",""
"Stanislaus","4/13/2020 17:10:34","146","2","http://schsa.org/publichealth/pages/corona-virus/","","","","2540","","","","","","","","77","","","","","","","","","","","x",""
"Sutter","4/13/2020 17:36:44","23","2","https://www.suttercounty.org/doc/government/depts/cao/em/coronavirus","Yuba and Sutter appear to report together to a certain extent. Testing is reported together, so I'm placing it in sutter/","1026","189","","","","","","","","","3","3/1","ever/currently","","","","","","","","","",""
"Tehama","4/13/2020 17:11:05","1","0","https://www.tehamacohealthservices.net/","","","","157","","","","","","","","","","","","","","","","","","","",""
"Trinity","4/10/2020 16:53:00","0","0","https://www.trinitycounty.org/Public-Health","","58","","58","","","","","","","","","","","","","","","","","","","",""
"Tulare","4/13/2020 15:25:13","264","13","https://tchhsa.org/eng/index.cfm/public-health/covid-19-updates-novel-coronavirus/","","","","","","","","","","","","15","","","","","","","","","","","x",""
"Tuolumne","4/12/2020 17:51:50","1","0","https://www.tuolumnecounty.ca.gov/250/Public-Health","","314","6","307","1","","","","","","","","","","","","","1","","","","","",""
"Ventura","4/12/2020 17:50:59","314","10","https://www.vcemergency.com/","","5522","","","","","","","","","","172","64","ever","","","","","","","","","x",""
"Yolo","4/13/2020 17:37:48","101","4","https://www.yolocounty.org/health-human-services/adults/communicable-disease-investigation-and-control/novel-coronavirus-2019","","1019","","","","","","","","","","","21","ever","","","","","","","","","",""
"Yuba","4/13/2020 17:37:14","15","1","https://www.yuba.org/coronavirus/","Yuba and Sutter appear to report together to a certain extent, and info is easier to find on the Sutter county website.","","","","","","","","","","","","","ever/currently","","","","","","","","","",""
