"county","as of","cases","deaths","url","notes","tested","pending","negative","positive","inconclusive","positives-travel","Locally Acquired (person to person or community spread)","Known Contact Positives","Community Transmission Positives","unknown/under investigation","recovered","Hospitalized","hospitalized-status","ICU","ICU-status","federal quarantine","Non-Resident Positive Tests","PUI (travelers + others)","travelers completed monitoring","for map?","updated","more granular data avaialble?","race data?"
"Monterey","4/14/2020 21:29:03","100","3","https://www.co.monterey.ca.us/government/departments-a-h/health/diseases/2019-novel-coronavirus-2019-ncov/2019-novel-coronavirus-2019-ncov-local-data","Number of tests only updated on Mondays, according to their site. Total number of tests only results received.","2019","","","","","","","","","","18","20","","","","","","","","","","x",""
"Nevada","4/15/2020 17:24:41","34","1","https://www.mynevadacounty.com/2956/COVID-19-Cases-in-Nevada-County","","","","","","","2","","","4","2","","","","","","","","","","","","x",""
"Placer","4/15/2020 17:25:23","129","7","https://www.placer.ca.gov/6448/Cases-in-Placer","","","","2863","","","","","","","","","13","","9","","","","","","","","x",""
"Plumas","4/15/2020 17:25:56","4","0","https://www.plumascounty.us/2669/Novel-Coronavirus-2019","positive cases updated, but not testing results","321","8","309","4","","","","","","","1","","","","","","","","","","","",""
"Sacramento","4/15/2020 14:40:06","853","32","https://www.saccounty.net/COVID-19/Pages/default.aspx","","","","","","","","","","","","","","","","","","","","","","","x (zip code)","x"
"San Bernardino","4/15/2020 17:26:47","996","39","http://wp.sbcounty.gov/dph/coronavirus/","","10632","","","","","","","","","","","","","","","","","","","","","x",""
"San Diego","4/15/2020 17:27:25","2012","60","https://www.sandiegocounty.gov/content/sdc/hhsa/programs/phs/community_epidemiology/dc/2019-nCoV/status.html","","27884","","","","","","","","","","","488","","173","","","","","","","","x","x"
"San Joaquin","4/15/2020 17:27:39","364","17","http://www.sjcphs.org/","","","","","","","","","","","","","","","","","","","","","","","x",""
"San Luis Obispo","4/15/2020 17:32:54","124","1","https://www.emergencyslo.org/en/positive-case-details.aspx","Testing numbers don't include private labs positives or negatives.","761","","713","48","","","","","","","104","3","current","2","current","","","","","","","x",""
"Santa Barbara","4/15/2020 17:33:42","334","2","https://publichealthsbc.org/","","1913","","1576","334","3","","","","","","134","38","current","15","current","","","","","","","x",""
"Shasta","4/14/2020 17:16:02","25","3","https://www.co.shasta.ca.us/index/hhsa/health-safety/current-heath-concerns/coronavirus","Numbers are in a video report.","","","721","25","","","","","","","6","","","","","","","","","","","",""
"Sierra","4/15/2020 17:34:31","0","0","http://www.sierracounty.ca.gov/582/Coronavirus-COVID-19","","11","1","10","0","","","","","","","","","","","","","","","","","","",""
"Siskiyou","4/15/2020 17:34:55","5","0","https://www.co.siskiyou.ca.us/publichealth","","192","3","184","5","","","","","","","3","","","","","","","","","","","",""
"Stanislaus","4/15/2020 17:35:34","177","4","http://schsa.org/publichealth/pages/corona-virus/","","","","2740","","","","","","","","77","","","","","","","","","","","x",""
"Sutter","4/15/2020 17:36:21","24","2","https://www.suttercounty.org/doc/government/depts/cao/em/coronavirus","Yuba and Sutter appear to report together to a certain extent. Testing is reported together, so I'm placing it in sutter/","1125","161","","","","","","","","","7","","ever/currently","","","","","","","","","",""
"Tehama","4/14/2020 17:18:20","1","0","https://www.tehamacohealthservices.net/","","","","167","","","","","","","","","","","","","","","","","","","",""
"Trinity","4/15/2020 17:37:08","0","0","https://www.trinitycounty.org/Public-Health","","58","","58","","","","","","","","","","","","","","","","","","","",""
"Tulare","4/15/2020 17:37:32","352","15","https://tchhsa.org/eng/index.cfm/public-health/covid-19-updates-novel-coronavirus/","","","","","","","","","","","","18","","","","","","","","","","","x",""
"Tuolumne","4/15/2020 17:38:15","1","0","https://www.tuolumnecounty.ca.gov/250/Public-Health","","364","7","355","2","","","","","","","","","","","","","1","","","","","",""
"Ventura","4/15/2020 17:46:32","365","13","https://www.vcemergency.com/","","6508","","","","","","","","","","166","","ever/currently","","ever/currently","","","","","","","x",""
"Yolo","4/15/2020 17:48:06","116","7","https://www.yolocounty.org/health-human-services/adults/communicable-disease-investigation-and-control/novel-coronavirus-2019","","1140","","","","","","","","","","","21","ever","","","","","","","","","",""
"Yuba","4/15/2020 17:48:34","15","1","https://www.yuba.org/coronavirus/","Yuba and Sutter appear to report together to a certain extent, and info is easier to find on the Sutter county website.","","","","","","","","","","","9","","ever/currently","","","","","","","","","",""
